entity_name,type,dimensions,source_url,scraped_at
PRELUDEOffshore Support Vessel,2017,489 / 74,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975020+00:00
PIONEERING SPIRITCrane Ship,2014,382 / 124,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975079+00:00
CORAL-SUL FLNGOffshore Support Vessel,2021,277 / 46,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975108+00:00
LEGEND OF THE SEASPassenger (Cruise) Ship,2026,-,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975134+00:00
STAR OF THE SEASPassenger (Cruise) Ship,2025,365 / 66,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975158+00:00
ICON OF THE SEASPassenger (Cruise) Ship,2023,365 / 49,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975182+00:00
CMA CGM VENDOMEContainer Ship,2025,400 / 62,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975206+00:00
CMACGM SAINT GERMAINContainer Ship,2025,400 / 62,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975230+00:00
CMA CGM SEINEContainer Ship,2025,400 / 62,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975253+00:00
EVER AEONContainer Ship,2024,400 / 60,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975276+00:00
EVER ALLYContainer Ship,2025,399 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975300+00:00
EVER ACMEContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975322+00:00
FSO AFRICAFSO,2002,378 / 68,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975346+00:00
FSO ASIAFSO,2002,380 / 68,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975368+00:00
CMA CGM RIVOLIContainer Ship,2021,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975391+00:00
CC CHAMPS ELYSEESContainer Ship,2020,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975419+00:00
CMA CGM PALAIS ROYALContainer Ship,2020,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975443+00:00
CMA CGM SORBONNEContainer Ship,2021,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975466+00:00
CMA CGM CONCORDEContainer Ship,2021,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975491+00:00
CMA CGM MONTMARTREContainer Ship,2021,400 / 61,https://www.vesselfinder.com/vessels?page=1,2026-02-10 08:25:06.975514+00:00
CMA CGM CONCORDEContainer Ship,2021,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027506+00:00
CMA CGM LOUVREContainer Ship,2020,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027541+00:00
CMACGM JACQUES SAADEContainer Ship,2020,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027563+00:00
UTOPIA OF THE SEASPassenger (Cruise) Ship,2024,362 / 47,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027587+00:00
EVER ALOTContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027608+00:00
EVER ATOPContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027628+00:00
EVER APEXContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027648+00:00
EVER ARIAContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027668+00:00
MSC MARIELLAContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027687+00:00
MSC MICHELCAPPELLINIContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027707+00:00
MSC IRINAContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027726+00:00
MSC LORETOContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027746+00:00
MSC TURKIYEContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027765+00:00
MSC MICOLContainer Ship,2023,400 / 61,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027784+00:00
MSC TESSAContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027803+00:00
MSC CELESTINOMARESCAContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027823+00:00
MSC RAYAContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027842+00:00
MSC NICOLA MASTROContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027862+00:00
MSC GEMMAContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027881+00:00
MSC CLAUDE GIRARDETContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=2,2026-02-10 08:25:10.027901+00:00
MSC METTEContainer Ship,2023,399 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051647+00:00
MSC CHINAContainer Ship,2023,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051687+00:00
WONDER OF THE SEASPassenger (Cruise) Ship,2022,362 / 47,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051712+00:00
EVER ALPContainer Ship,2021,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051734+00:00
EVER ARTContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051757+00:00
EVER ACTContainer Ship,2021,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051779+00:00
EVER ARMContainer Ship,2022,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051801+00:00
EVER AIMContainer Ship,2021,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051823+00:00
EVER ACEContainer Ship,2021,400 / 62,https://www.vesselfinder.com/vessels?page=3,2026-02-10 08:25:13.051846+00:00
